1	2	4	0
1	15	2.5	0
2	4	2	0
2	5	3	0
4	3	3	0
3	6	3	0
6	7	3	0
7	8	4	0
8	9	3.5	0
8	10	1.5	0
10	11	4.5	0
11	13	5	0
11	12	3.5	0
11	28	3.5	0
11	43	8	0
13	14	1	0
14	18	2	0
18	17	3	0
18	21	2	0
17	15	3.5	0
15	16	5.5	0
21	19	5	0
21	29	4.5	0
19	20	5	0
19	22	3	0
19	23	7	0
22	29	5	0
23	24	2.5	0
29	26	3	0
26	25	4.5	0
25	31	10	0
31	27	7	0
31	30	2.5	0
30	34	4.5	0
30	39	6.5	0
30	32	8.5	0
34	28	10	0
34	37	4	0
34	40	5.5	0
32	39	6	0
39	40	7.5	0
37	33	4	0
37	43	5	0
33	43	5	0
43	35	2.5	0
35	50	8	0
35	42	4	0
35	44	4	0
40	38	4.5	0
40	41	4	0
38	41	3	0
38	36	2	0
40	42	8.5	0
36	42	2.5	0
42	35	4	0
44	46	3	0
46	45	3	0
45	47	5	0
47	50	3	0
50	48	3.5	0
50	49	2	0
48	12	4	0
